open,high,low,close,volume
121.71,121.715,121.58,121.61,10416.0
121.86,121.86,121.67,121.67,10260.0
122.03,122.035,121.9,121.9,5470.0
122.01,122.08,122.0,122.06,4267.0
122.02,122.08,121.96,121.995,11871.0
122.04,122.05,121.975,122.025,7938.0
122.06,122.07,122.01,122.04,3617.0
122.04,122.07,122.02,122.07,3316.0
122.11,122.11,122.01,122.045,3104.0
122.025,122.12,122.0025,122.1,5463.0
122.02,122.04,122.01,122.01,2593.0
122.04,122.066,121.95,122.015,5829.0
122.0,122.01,121.97,122.01,3261.0
121.98,121.9999,121.9396,121.9802,3604.0
121.98,122.03,121.95,122.02,6381.0
122.08,122.085,121.94,122.0,6754.0
122.2151,122.22,122.08,122.105,7564.0
122.17,122.22,122.15,122.19,6236.0
121.99,122.2,121.99,122.19,3483.0
122.1,122.1,121.97,121.98,6205.0
122.18,122.18,122.12,122.135,2850.0
122.05,122.2,122.045,122.2,3481.0
122.17,122.21,122.06,122.06,6671.0
122.173,122.2,122.1493,122.1493,2170.0
122.1365,122.23,122.1365,122.17,5382.0
122.19,122.19,122.08,122.1,4062.0
122.06,122.1809,122.06,122.15,4750.0
122.13,122.14,121.9901,122.02,3609.0
122.02,122.115,121.965,122.115,4539.0
122.03,122.12,122.01,122.0351,6474.0
121.99,122.0553,121.96,122.01,4431.0
121.94,121.99,121.91,121.97,5269.0
122.02,122.02,121.83,121.94,6709.0
122.15,122.15,122.0055,122.015,5939.0
122.15,122.19,122.1,122.18,6428.0
122.07,122.15,122.05,122.15,5096.0
121.97,122.07,121.9115,122.07,7250.0
121.95,122.04,121.9441,121.9441,7545.0
121.97,122.0062,121.945,121.96,3612.0
121.94,121.96,121.91,121.94,4478.0
121.95,121.95,121.91,121.93,4288.0
122.055,122.055,121.93,121.93,3219.0
122.13,122.17,122.0885,122.09,4200.0
122.19,122.195,122.14,122.14,3222.0
122.21,122.2486,122.2,122.2,5151.0
122.21,122.24,122.205,122.226,2479.0
122.23,122.25,122.2,122.24,4002.0
122.22,122.25,122.195,122.23,3064.0
122.01,122.19,122.0,122.19,3855.0
122.04,122.04,121.95,121.985,6498.0
122.13,122.13,122.01,122.01,4160.0
122.17,122.2,122.11,122.14,3396.0
122.24,122.25,122.18,122.19,2640.0
122.285,122.31,122.215,122.215,3104.0
122.245,122.28,122.22,122.27,3585.0
122.15,122.23,122.12,122.23,2332.0
122.18,122.2764,122.16,122.16,3233.0
122.3397,122.3397,122.19,122.19,2902.0
122.29,122.35,122.28,122.29,3274.0
122.195,122.25,122.11,122.25,2759.0
122.2953,122.2953,122.14,122.16,4663.0
122.215,122.32,122.21,122.28,4327.0
122.29,122.295,122.19,122.19,5123.0
122.355,122.355,122.28,122.2917,5516.0
122.36,122.3812,122.33,122.35,3257.0
122.4,122.4,122.3,122.37,4681.0
122.45,122.462,122.4,122.4199,2845.0
122.4,122.46,122.39,122.46,3397.0
122.33,122.42,122.33,122.33,8841.0
122.43,122.43,122.29,122.315,9024.0
122.4282,122.43,122.39,122.43,9010.0
122.42,122.5,122.41,122.42,9259.0
122.45,122.45,122.35,122.41,3213.0
122.35,122.43,122.34,122.42,9237.0
122.36,122.41,122.32,122.355,5199.0
122.255,122.38,122.23,122.3652,5779.0
122.31,122.37,122.24,122.29,11196.0
122.03,122.31,122.0,122.31,11240.0
122.06,122.13,122.01,122.06,5603.0
122.13,122.17,122.06,122.06,4658.0
122.3,122.3027,122.08,122.0842,8727.0
122.33,122.372,122.3,122.32,6626.0
122.33,122.35,122.31,122.33,2766.0
122.39,122.39,122.34,122.36,4882.0
122.34,122.42,122.33,122.41,8128.0
122.2,122.35,122.19,122.34,11778.0
122.281,122.281,122.17,122.19,6521.0
122.27,122.315,122.23,122.286,4080.0
122.19,122.23,122.16,122.19,4824.0
122.17,122.21,122.16,122.209,4148.0
122.1754,122.2331,122.15,122.18,6136.0
122.17,122.21,122.08,122.18,8703.0
122.01,122.1075,121.95,122.1075,5235.0
122.06,122.06,121.9064,122.03,8830.0
121.92,122.09,121.9,122.07,10601.0
121.76,121.94,121.74,121.94,12648.0
121.91,121.91,121.75,121.75,10340.0
121.93,122.0,121.84,121.88,10210.0
122.05,122.05,121.84,121.93,16477.0
122.16,122.24,122.07,122.08,11366.0
122.39,122.44,122.17,122.17,8886.0
122.42,122.47,122.3376,122.3567,12071.0
122.384,122.47,122.38,122.45,6621.0
122.48,122.485,122.38,122.38,10326.0
122.41,122.5,122.41,122.485,5969.0
122.42,122.46,122.39,122.45,4631.0
122.29,122.42,122.28,122.3301,18362.0
122.25,122.36,122.2281,122.27,19199.0
122.0001,122.26,122.0001,122.26,6293.0
122.03,122.09,121.99,122.03,8493.0
122.13,122.13,121.94,122.06,15733.0
122.41,122.45,122.08,122.11,14458.0
122.49,122.49,122.41,122.41,6299.0
122.46,122.4898,122.35,122.47,13164.0
122.56,122.56,122.41,122.45,7902.0
122.5593,122.561,122.5,122.55,5267.0
122.49,122.54,122.375,122.53,12008.0
122.52,122.53,122.49,122.49,5197.0
122.4726,122.515,122.43,122.515,5494.0
122.41,122.45,122.4,122.43,4473.0
122.41,122.43,122.375,122.42,1973.0
122.34,122.4224,122.34,122.4,4744.0
122.37,122.4,122.35,122.36,5354.0
122.49,122.49,122.41,122.41,2943.0
122.5588,122.575,122.47,122.47,5213.0
122.37,122.56,122.37,122.5213,3187.0
122.32,122.3833,122.25,122.38,5718.0
122.32,122.32,122.26,122.28,7987.0
122.42,122.43,122.34,122.34,4315.0
122.46,122.49,122.4,122.413,4759.0
122.565,122.565,122.45,122.4679,8973.0
122.71,122.71,122.54,122.615,7606.0
122.79,122.79,122.73,122.73,3737.0
122.827,122.895,122.8,122.8,4573.0
122.82,122.84,122.78,122.82,3913.0
122.78,122.791,122.76,122.78,2656.0
122.88,122.9,122.76,122.78,10726.0
122.92,122.93,122.86,122.86,3646.0
122.98,122.9802,122.9,122.9,3412.0
122.965,122.97,122.88,122.94,18547.0
122.97,122.99,122.88,122.95,5817.0
122.84,122.97,122.84,122.96,19112.0
122.74,122.77,122.66,122.7656,21073.0
122.87,122.91,122.75,122.75,5126.0
122.9,122.9,122.8301,122.85,7962.0
122.91,122.93,122.8,122.87,3728.0
122.845,123.04,122.845,122.92,11069.0
122.8,122.8582,122.78,122.82,12504.0
122.75,122.79,122.685,122.78,6005.0
122.85,122.85,122.75,122.77,4987.0
123.0,123.0,122.8172,122.8172,5500.0
123.04,123.076,122.99,123.01,7386.0
123.02,123.045,123.0,123.02,3389.0
123.02,123.09,123.01,123.03,5073.0
122.95,123.0794,122.905,123.01,23395.0
122.82,122.92,122.77,122.8843,8461.0
122.84,122.86,122.73,122.81,9155.0
122.92,122.94,122.76,122.782,5863.0
123.15,123.15,122.9022,122.9022,6631.0
123.335,123.335,123.13,123.13,6501.0
